Category: All categories

Week,bitcoin: (Worldwide)
2013-04-28,11
2013-05-05,9
2013-05-12,8
2013-05-19,7
2013-05-26,7
2013-06-02,6
2013-06-09,6
2013-06-16,5
2013-06-23,6
2013-06-30,7
2013-07-07,6
2013-07-14,5
2013-07-21,5
2013-07-28,5
2013-08-04,5
2013-08-11,6
2013-08-18,6
2013-08-25,6
2013-09-01,5
2013-09-08,5
2013-09-15,5
2013-09-22,5
2013-09-29,9
2013-10-06,6
2013-10-13,6
2013-10-20,7
2013-10-27,17
2013-11-03,17
2013-11-10,18
2013-11-17,41
2013-11-24,49
2013-12-01,49
2013-12-08,35
2013-12-15,36
2013-12-22,24
2013-12-29,20
2014-01-05,24
2014-01-12,22
2014-01-19,23
2014-01-26,22
2014-02-02,19
2014-02-09,25
2014-02-16,21
2014-02-23,37
2014-03-02,30
2014-03-09,16
2014-03-16,14
2014-03-23,15
2014-03-30,13
2014-04-06,12
2014-04-13,11
2014-04-20,10
2014-04-27,9
2014-05-04,9
2014-05-11,8
2014-05-18,9
2014-05-25,10
2014-06-01,9
2014-06-08,9
2014-06-15,9
2014-06-22,8
2014-06-29,8
2014-07-06,8
2014-07-13,8
2014-07-20,8
2014-07-27,8
2014-08-03,8
2014-08-10,10
2014-08-17,9
2014-08-24,7
2014-08-31,9
2014-09-07,9
2014-09-14,8
2014-09-21,8
2014-09-28,8
2014-10-05,10
2014-10-12,8
2014-10-19,7
2014-10-26,7
2014-11-02,8
2014-11-09,9
2014-11-16,8
2014-11-23,7
2014-11-30,7
2014-12-07,8
2014-12-14,8
2014-12-21,9
2014-12-28,8
2015-01-04,9
2015-01-11,10
2015-01-18,8
2015-01-25,9
2015-02-01,8
2015-02-08,8
2015-02-15,9
2015-02-22,7
2015-03-01,8
2015-03-08,8
2015-03-15,8
2015-03-22,7
2015-03-29,7
2015-04-05,7
2015-04-12,7
2015-04-19,7
2015-04-26,7
2015-05-03,6
2015-05-10,7
2015-05-17,7
2015-05-24,7
2015-05-31,7
2015-06-07,6
2015-06-14,8
2015-06-21,7
2015-06-28,8
2015-07-05,9
2015-07-12,8
2015-07-19,7
2015-07-26,8
2015-08-02,8
2015-08-09,7
2015-08-16,8
2015-08-23,8
2015-08-30,7
2015-09-06,7
2015-09-13,7
2015-09-20,7
2015-09-27,7
2015-10-04,7
2015-10-11,7
2015-10-18,7
2015-10-25,9
2015-11-01,14
2015-11-08,10
2015-11-15,9
2015-11-22,8
2015-11-29,8
2015-12-06,13
2015-12-13,10
2015-12-20,9
2015-12-27,9
2016-01-03,9
2016-01-10,10
2016-01-17,10
2016-01-24,9
2016-01-31,8
2016-02-07,8
2016-02-14,9
2016-02-21,9
2016-02-28,9
2016-03-06,8
2016-03-13,8
2016-03-20,8
2016-03-27,8
2016-04-03,8
2016-04-10,8
2016-04-17,8
2016-04-24,9
2016-05-01,14
2016-05-08,9
2016-05-15,9
2016-05-22,9
2016-05-29,12
2016-06-05,11
2016-06-12,16
2016-06-19,15
2016-06-26,12
2016-07-03,12
2016-07-10,10
2016-07-17,9
2016-07-24,9
2016-07-31,12
2016-08-07,9
2016-08-14,8
2016-08-21,9
2016-08-28,9
2016-09-04,9
2016-09-11,9
2016-09-18,9
2016-09-25,9
2016-10-02,9
2016-10-09,9
2016-10-16,9
2016-10-23,11
2016-10-30,12
2016-11-06,12
2016-11-13,11
2016-11-20,11
2016-11-27,12
2016-12-04,11
2016-12-11,11
2016-12-18,15
2016-12-25,16
2017-01-01,26
2017-01-08,20
2017-01-15,15
2017-01-22,14
2017-01-29,15
2017-02-05,16
2017-02-12,15
2017-02-19,18
2017-02-26,21
2017-03-05,24
2017-03-12,20
2017-03-19,20
2017-03-26,17
2017-04-02,17
2017-04-09,17
2017-04-16,17
2017-04-23,18
2017-04-30,25
2017-05-07,34
2017-05-14,41
2017-05-21,68
2017-05-28,44
2017-06-04,44
2017-06-11,47
2017-06-18,39
2017-06-25,39
2017-07-02,32
2017-07-09,36
2017-07-16,42
2017-07-23,38
2017-07-30,54
2017-08-06,52
2017-08-13,72
2017-08-20,57
2017-08-27,61
2017-09-03,64
2017-09-10,75
2017-09-17,56
2017-09-24,45
2017-10-01,44
2017-10-08,67
2017-10-15,71
2017-10-22,73
2017-10-29,98
2017-11-05,100
